"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart"
"39","Chai 2019 5-11","Telehealth + SMS","baseline","1.8","1.05716637256172","15","Baseline and FU","N","Y","IOTF"
"41","Chai 2019 5-11","Telehealth + SMS","short","1.9","1.38320833793122","15","Baseline and FU","N","Y","IOTF"
"55","Diaz-Castro 2021 5-11","PA intervention","baseline","0.93","0.360555127546399","52","Baseline and FU","N","N","IOTF"
"56","Diaz-Castro 2021 5-11","PA intervention","short","0.77","0.216333076527839","52","Baseline and FU","N","N","IOTF"
"57","Diaz-Castro 2021 5-11","Control","baseline","0.9","0.0714142842854285","51","Baseline and FU","N","N","IOTF"
"58","Diaz-Castro 2021 5-11","Control","short","0.94","0.571314274283428","51","Baseline and FU","N","N","IOTF"
"59","Elder 2014 5-11","MOVE/me Muevo","baseline","0.574","0.983","271","Baseline and FU","N","Y","CDC"
"61","Elder 2014 5-11","MOVE/me Muevo","mid","0.552","0.979","239","Baseline and FU","N","Y","CDC"
"63","Elder 2014 5-11","Control","baseline","0.746","0.913","267","Baseline and FU","N","Y","CDC"
"65","Elder 2014 5-11","Control","mid","0.717","0.899","249","Baseline and FU","N","Y","CDC"
"67","Elder 2014 5-11","MOVE/me Muevo","long","0.535","1.037","237","Baseline and FU","N","Y","CDC"
"69","Elder 2014 5-11","Control","long","0.715","0.927","252","Baseline and FU","N","Y","CDC"
"71","Fairclough 2013 5-11","CHANGE!","baseline","0.2","1.1","138","Baseline","N","N","IOTF"
"72","Fairclough 2013 5-11","Control","baseline","0.2","1.4","127","Baseline","N","N","IOTF"
"73","Farmer 2017 5-11","PLAY","baseline","0.67","1.09","374","Baseline and FU","N","Y","WHO"
"75","Farmer 2017 5-11","PLAY","mid","0.71","1.14","360","Baseline and FU","N","Y","WHO"
"77","Farmer 2017 5-11","Control","baseline","0.71","1.08","369","Baseline and FU","N","Y","WHO"
"79","Farmer 2017 5-11","Control","mid","0.75","1.12","355","Baseline and FU","N","Y","WHO"
"81","Farmer 2017 5-11","PLAY","long","0.78","1.16","318","Baseline and FU","N","Y","WHO"
"83","Farmer 2017 5-11","Control","long","0.78","1.12","306","Baseline and FU","N","Y","WHO"
"121","Hendrie 2011 5-11","Intervention","baseline","0.24","1.11","76","Baseline and FU","N","N","IOTF"
"122","Hendrie 2011 5-11","Intervention","short","0.19","1.1","76","Baseline and FU","N","N","IOTF"
"123","Hendrie 2011 5-11","Control (screen time reduction)","baseline","0.18","1.25","69","Baseline and FU","N","N","IOTF"
"124","Hendrie 2011 5-11","Control (screen time reduction)","short","0.2","1.27","64","Baseline and FU","N","N","IOTF"
"137","James 2004 5-11","CHOMPS","baseline","0.44","0.98","311","Baseline and FU","N","N","IOTF"
"139","James 2004 5-11","CHOMPS","mid","0.44","1.01","295","Baseline and FU","N","N","IOTF"
"141","James 2004 5-11","Control","baseline","0.53","0.98","304","Baseline and FU","N","N","IOTF"
"143","James 2004 5-11","Control","mid","0.63","1.07","279","Baseline and FU","N","N","IOTF"
"145","James 2004 5-11","CHOMPS","long","0.39","1.17","219","Baseline and FU","N","N","IOTF"
"147","James 2004 5-11","Control","long","0.63","1.12","215","Baseline and FU","N","N","IOTF"
"149","Jones 2015 5-11","Wollongong SPORT","baseline","1.98894736842105","0.840220835632858","19","Baseline and FU","N","Y","IOTF"
"151","Jones 2015 5-11","Wollongong SPORT","short","1.94","0.83700446270509","18","Baseline and FU","N","Y","IOTF"
"153","Jones 2015 5-11","Healthy lifestyle education program","baseline","2.59888888888889","0.913331902102786","18","Baseline and FU","N","Y","IOTF"
"155","Jones 2015 5-11","Healthy lifestyle education program","short","2.42941176470588","0.879935868318221","17","Baseline and FU","N","Y","IOTF"
"157","Jones 2015 5-11","Wollongong SPORT","mid","1.963125","0.828667353847932","16","Baseline and FU","N","Y","IOTF"
"159","Jones 2015 5-11","Healthy lifestyle education program","mid","2.31666666666667","0.878742337228664","15","Baseline and FU","N","Y","IOTF"
"173","Khan 2014 5-11","FITKids","baseline","0.03","0.77","64","Baseline and FU","N","Y","CDC"
"174","Khan 2014 5-11","FITKids","mid","-0.03","0.78","64","Baseline and FU","N","Y","CDC"
"175","Khan 2014 5-11","Control","baseline","-0.05","0.71","68","Baseline and FU","N","Y","CDC"
"176","Khan 2014 5-11","Control","mid","0.09","0.82","68","Baseline and FU","N","Y","CDC"
"177","Lazaar 2007 5-11","Intervention","baseline","0.765","0.508160055824704","138","Baseline and FU","N","N","IOTF"
"178","Lazaar 2007 5-11","Intervention","short","0.75","0.503178220084975","138","Baseline and FU","N","N","IOTF"
"179","Lazaar 2007 5-11","Control","baseline","0.680053475935829","0.532883712350444","187","Baseline and FU","N","N","IOTF"
"180","Lazaar 2007 5-11","Control","short","0.684973262032086","0.538400033483869","187","Baseline and FU","N","N","IOTF"
"193","Lent 2014 5-11","Healthy Corner Store","baseline","0.8","1.2","435","Baseline and FU","N","Y","CDC"
"195","Lent 2014 5-11","Healthy Corner Store","mid","0.8","1.2","331","Baseline and FU","N","Y","CDC"
"197","Lent 2014 5-11","Control","baseline","0.8","1.1","332","Baseline and FU","N","Y","CDC"
"199","Lent 2014 5-11","Control","mid","0.8","1.1","265","Baseline and FU","N","Y","CDC"
"201","Lent 2014 5-11","Healthy Corner Store","long","0.8","1.2","262","Baseline and FU","N","Y","CDC"
"203","Lent 2014 5-11","Control","long","0.9","1.1","249","Baseline and FU","N","Y","CDC"
"205","Li 2010 5-11","Happy 10 program","baseline","0.31","1.48","2329","Baseline and CS","N","Y","WHO"
"207","Li 2010 5-11","Happy 10 program","mid","0.26","1.48","2072","Baseline and CS","N","Y","WHO"
"209","Li 2010 5-11","Control","baseline","0.28","1.47","2371","Baseline and CS","N","Y","WHO"
"211","Li 2010 5-11","Control","mid","0.29","1.47","2115","Baseline and CS","N","Y","WHO"
"213","Li 2010 5-11","Happy 10 program","long","0.34","1.48","2028","Baseline and CS","N","Y","WHO"
"215","Li 2010 5-11","Control","long","0.36","1.47","2092","Baseline and CS","N","Y","WHO"
"217","Liu 2019 5-11","Intervention","baseline","0.3","1.2","930","Baseline and FU","N","Y","WHO"
"219","Liu 2019 5-11","Intervention","short","0.25","1.23","902","Baseline and FU","N","Y","WHO"
"221","Liu 2019 5-11","Control","baseline","0.29","1.23","959","Baseline and FU","N","Y","WHO"
"223","Liu 2019 5-11","Control","short","0.24","1.23","935","Baseline and FU","N","Y","WHO"
"225","Liu 2019 5-11","Intervention","mid","0.25","1.19","900","Baseline and FU","N","Y","WHO"
"227","Liu 2019 5-11","Control","mid","0.28","1.23","939","Baseline and FU","N","Y","WHO"
"229","Liu 2022 5-11","DECIDE - Children","baseline","0.69","1.43","703","Baseline and FU","N","Y","WHO"
"231","Liu 2022 5-11","DECIDE - Children","short","0.55","1.42","703","Baseline and FU","N","Y","WHO"
"233","Liu 2022 5-11","Control","baseline","0.78","1.45","670","Baseline and FU","N","Y","WHO"
"235","Liu 2022 5-11","Control","short","0.75","1.44","670","Baseline and FU","N","Y","WHO"
"237","Liu 2022 5-11","DECIDE - Children","baseline","0.69","1.43","686","Baseline and FU","N","Y","WHO"
"239","Liu 2022 5-11","DECIDE - Children","mid","0.4","1.4","686","Baseline and FU","N","Y","WHO"
"241","Liu 2022 5-11","Control","baseline","0.78","1.45","676","Baseline and FU","N","Y","WHO"
"243","Liu 2022 5-11","Control","mid","0.7","1.4","676","Baseline and FU","N","Y","WHO"
"245","Lloyd 2018 5-11","HeLP","baseline","0.32","1.16","676","Baseline and FU","N","N","IOTF"
"246","Lloyd 2018 5-11","HeLP","long","0.35","1.25","630","Baseline and FU","N","N","IOTF"
"247","Lloyd 2018 5-11","Control","baseline","0.18","1.14","648","Baseline and FU","N","N","IOTF"
"248","Lloyd 2018 5-11","Control","long","0.22","1.22","620","Baseline and FU","N","N","IOTF"
"249","Martinez-Vizcaino 2020 5-11","MOVI-Kids","baseline","0.195848142164782","1.42892559822105","619","Baseline and FU","N","Y","IOTF"
"250","Martinez-Vizcaino 2020 5-11","MOVI-Kids","short","0.236090468497577","1.39114957872195","619","Baseline and FU","N","Y","IOTF"
"251","Martinez-Vizcaino 2020 5-11","Control","baseline","0.114257668711656","1.45124458400925","815","Baseline and FU","N","Y","IOTF"
"252","Martinez-Vizcaino 2020 5-11","Control","short","0.169460122699387","1.39962765426462","815","Baseline and FU","N","Y","IOTF"
"253","Martinez-Vizcaino 2022 5-11","MOVI-daFIT!","baseline","0.00193548387096774","0.994974764125161","248","Baseline and FU","N","Y","IOTF"
"254","Martinez-Vizcaino 2022 5-11","MOVI-daFIT!","mid","0.0028125","0.994843462258212","192","Baseline and FU","N","Y","IOTF"
"255","Martinez-Vizcaino 2022 5-11","Control","baseline","0.000920502092050212","0.994294854839052","239","Baseline and FU","N","Y","IOTF"
"256","Martinez-Vizcaino 2022 5-11","Control","mid","0.00446078431372549","0.994142551271023","204","Baseline and FU","N","Y","IOTF"
"257","Morgan 2014 5-11","HDHK program","baseline","0.94","1.05","72","Baseline and CS","CS","N","IOTF"
"258","Morgan 2014 5-11","HDHK program","short","0.76","1.05","72","Baseline and CS","CS","N","IOTF"
"259","Morgan 2014 5-11","Control","baseline","0.64","1.01","60","Baseline and CS","CS","N","IOTF"
"260","Morgan 2014 5-11","Control","short","0.56","1.01","60","Baseline and CS","CS","N","IOTF"
"261","Newton 2014 5-11","Intensive intervention","baseline","1.7","1","13","Baseline and CS","N","Y","CDC"
"262","Newton 2014 5-11","Intensive intervention","short","1.7","1","13","Baseline and CS","N","Y","CDC"
"263","Newton 2014 5-11","Minimal intervention","baseline","1.3","0.9","14","Baseline and CS","N","Y","CDC"
"264","Newton 2014 5-11","Minimal intervention","short","1.316","0.9","14","Baseline and CS","N","Y","CDC"
"265","Nicholl 2021 5-11","Milky Way study","baseline","-0.01","0.881816307401944","24","Baseline and CS","N","Y","CDC"
"266","Nicholl 2021 5-11","Milky Way study","short","0.12","0.881816307401944","24","Baseline and CS","N","Y","CDC"
"267","Nicholl 2021 5-11","Control","baseline","-0.12","1.00816665289028","21","Baseline and CS","N","Y","CDC"
"268","Nicholl 2021 5-11","Control","short","-0.14","1.00816665289028","21","Baseline and CS","N","Y","CDC"
"269","Paineau 2008 5-11","Group A","baseline","0.7","1.36","280","Baseline and CS","N","N","IOTF"
"271","Paineau 2008 5-11","Group A","short","0.57","1.36","280","Baseline and CS","N","N","IOTF"
"273","Paineau 2008 5-11","Control","baseline","0.48","1.25","394","Baseline and CS","N","N","IOTF"
"275","Paineau 2008 5-11","Control","short","0.42","1.25","394","Baseline and CS","N","N","IOTF"
"277","Paineau 2008 5-11","Group B","baseline","0.7","1.38","275","Baseline and CS","N","N","IOTF"
"279","Paineau 2008 5-11","Group B","short","0.61","1.38","275","Baseline and CS","N","N","IOTF"
"321","Pena 2021 5-11","Intervention","baseline","1.01","1.16","1611","Baseline","N","Y","WHO"
"322","Pena 2021 5-11","Control","baseline","1.09","1.18","411","Baseline","N","Y","WHO"
"323","Robinson 2010 5-11","Intervention","baseline","0.94","1.07","134","Baseline and CS","N","N","CDC"
"324","Robinson 2010 5-11","Intervention","long","1.46","1.07","134","Baseline and CS","N","N","CDC"
"325","Robinson 2010 5-11","Control","baseline","0.98","1.07","127","Baseline and CS","N","N","CDC"
"326","Robinson 2010 5-11","Control","long","1.46","1.07","127","Baseline and CS","N","N","CDC"
"327","Rosario 2012 5-11","Intervention","baseline","0.8","1.1","231","Baseline","N","Y","IOTF"
"328","Rosario 2012 5-11","Control","baseline","0.7","1.2","233","Baseline","N","Y","IOTF"
"329","Rosenkranz 2010 5-11","SNAP","baseline","0.57","0.85809867342476","33","Baseline and FU","Baseline and FU","Y","CDC"
"330","Rosenkranz 2010 5-11","SNAP","short","0.55","0.85809867342476","33","Baseline and FU","Baseline and FU","Y","CDC"
"331","Rosenkranz 2010 5-11","Control","baseline","0.38","0.691898406021664","39","Baseline and FU","Baseline and FU","Y","CDC"
"332","Rosenkranz 2010 5-11","Control","short","0.36","0.682673093941375","39","Baseline and FU","Baseline and FU","Y","CDC"
"345","Siegrist 2013 5-11","JuvenTUM","baseline","0.15","1.04","422","Baseline and FU","N","N","IOTF"
"346","Siegrist 2013 5-11","JuvenTUM","mid","0.21","1.05","422","Baseline and FU","N","N","IOTF"
"347","Siegrist 2013 5-11","Control","baseline","0.08","1.07","297","Baseline and FU","N","N","IOTF"
"348","Siegrist 2013 5-11","Control","mid","0.09","1.1","297","Baseline and FU","N","N","IOTF"
"349","Stettler 2015 5-11","Beverage-only","baseline","1.21","0.54","76","Baseline and FU","N","Y","CDC"
"351","Stettler 2015 5-11","Beverage-only","mid","1.18","0.62","51","Baseline and FU","N","Y","CDC"
"353","Stettler 2015 5-11","Control","baseline","1.34","0.38","33","Baseline and FU","N","Y","CDC"
"355","Stettler 2015 5-11","Control","mid","1.44","0.44","24","Baseline and FU","N","Y","CDC"
"357","Stettler 2015 5-11","Multiple behaviors","baseline","1.22","0.47","63","Baseline and FU","N","Y","CDC"
"359","Stettler 2015 5-11","Multiple behaviors","mid","1.16","0.53","46","Baseline and FU","N","Y","CDC"
"361","Story 2012 5-11","Bright Start","baseline","0.58","1.48527195721364","267","Baseline and FU","Baseline and FU","Y","CDC"
"362","Story 2012 5-11","Bright Start","long","0.8","1.48527195721364","267","Baseline and FU","Baseline and FU","Y","CDC"
"363","Story 2012 5-11","Control","baseline","0.42","1.55576832926359","187","Baseline and FU","Baseline and FU","Y","CDC"
"364","Story 2012 5-11","Control","long","0.64","1.55576832926359","187","Baseline and FU","Baseline and FU","Y","CDC"
"365","Wang 2018 5-11","HLP-YOG intervention","baseline","0.5","1.4525839046334","5275","Baseline and FU","N","N","IOTF"
"366","Wang 2018 5-11","HLP-YOG intervention","mid","0.5","1.4525839046334","5275","Baseline and FU","N","N","IOTF"
"367","Wang 2018 5-11","Control","baseline","0.4","1.35395716328102","4583","Baseline and FU","N","N","IOTF"
"368","Wang 2018 5-11","Control","mid","0.6","1.35395716328102","4583","Baseline and FU","N","N","IOTF"
"369","Xu 2015 5-11","CLICK programme","baseline","0.45","1.04","612","Baseline and CS","CS","N","IOTF"
"370","Xu 2015 5-11","CLICK programme","mid","0.15","1.04","612","Baseline and CS","CS","N","IOTF"
"371","Xu 2015 5-11","Control","baseline","0.36","0.95","513","Baseline and CS","CS","N","IOTF"
"372","Xu 2015 5-11","Control","mid","0.06","0.95","513","Baseline and CS","CS","N","IOTF"
"373","Xu 2017 (5 other cities) 5-11","Comprehensive","baseline","0.23","1.37","2656","Baseline and FU","N","Y","WHO"
"374","Xu 2017 (5 other cities) 5-11","Comprehensive","mid","0.12","1.4","2656","Baseline and FU","N","Y","WHO"
"375","Xu 2017 (5 other cities) 5-11","Control","baseline","0.19","1.3","2627","Baseline and FU","N","Y","WHO"
"376","Xu 2017 (5 other cities) 5-11","Control","mid","0.22","1.39","2627","Baseline and FU","N","Y","WHO"
