"","studyID","arm","time","mean","SD","n","test_type","UnAdj_cluster","chart_ref","chart"
"335","Shomaker 2019 12-18","Learning to BREATHE","short","1.54042975882728","0.784677667839292","24","Baseline and FU","N","Y","CDC"
"337","Shomaker 2019 12-18","Control - Health education","baseline","1.5691853009247","0.712568342238988","25","Baseline and FU","N","Y","CDC"
"339","Shomaker 2019 12-18","Control - Health education","short","1.5807900154572","0.721234826511332","18","Baseline and FU","N","Y","CDC"
"341","Shomaker 2019 12-18","Learning to BREATHE","long","1.61541520027219","0.61478603320829","23","Baseline and CS","N","Y","CDC"
"343","Shomaker 2019 12-18","Control - Health education","long","1.62309359941975","0.709330014986609","21","Baseline and CS","N","Y","CDC"
"3","Barnes 2021 5-11","SWAP IT intervention","baseline","0.548722114581441","1.35013428803594","163","Baseline and FU","N","Y","WHO"
"6","Barnes 2021 5-11","SWAP IT intervention","mid","0.496738932954538","1.29491252436899","160","Baseline and FU","N","Y","WHO"
"9","Barnes 2021 5-11","Control","baseline","0.666379422650712","1.54614960847652","167","Baseline and FU","N","Y","WHO"
"12","Barnes 2021 5-11","Control","mid","0.562188061224341","1.50641408764786","163","Baseline and FU","N","Y","WHO"
"15","Barnes 2021 5-11","Physically Active Children in Education (PACE) intervention","baseline","0.466922960915778","1.55208754030053","283","Baseline and FU","N","Y","WHO"
"18","Barnes 2021 5-11","Physically Active Children in Education (PACE) intervention","mid","0.330333155028658","1.48213171425562","279","Baseline and FU","N","Y","WHO"
"21","Barnes 2021 5-11","SWAP IT + PACE Combined","baseline","0.418521580315348","1.45658155290122","202","Baseline and FU","N","Y","WHO"
"24","Barnes 2021 5-11","SWAP IT + PACE Combined","mid","0.265119700511436","1.50512578428565","199","Baseline and FU","N","Y","WHO"
"27","Brown 2013 5-11","Intervention","baseline","0.999991549244102","1.34523514725297","31","Baseline and FU","N","Y","CDC"
"28","Brown 2013 5-11","Intervention","short","1.02630520877636","1.31843935743444","31","Baseline and FU","N","Y","CDC"
"29","Brown 2013 5-11","Control","baseline","0.977595028209805","1.27126668419398","32","Baseline and FU","N","Y","CDC"
"30","Brown 2013 5-11","Control","short","1.01500908995083","1.26661903970863","32","Baseline and FU","N","Y","CDC"
"31","Chai 2019 5-11","Telehealth","baseline","1.91563731873694","1.53541525748174","16","Baseline and FU","N","Y","IOTF"
"33","Chai 2019 5-11","Telehealth","short","1.64845696231351","1.97639604809211","16","Baseline and FU","N","Y","IOTF"
"35","Chai 2019 5-11","Control","baseline","2.16348485857824","1.58269100030743","15","Baseline and FU","N","Y","IOTF"
"37","Chai 2019 5-11","Control","short","2.11250594907494","1.61333455814231","15","Baseline and FU","N","Y","IOTF"
"39","Chai 2019 5-11","Telehealth + SMS","baseline","1.67360764942425","1.47722911483749","15","Baseline and FU","N","Y","IOTF"
"41","Chai 2019 5-11","Telehealth + SMS","short","1.50508583632946","2.01129597101884","15","Baseline and FU","N","Y","IOTF"
"55","Diaz-Castro 2021 5-11","PA intervention","baseline","-0.129118620199654","2.73258314595134","52","Baseline and FU","N","N","IOTF"
"56","Diaz-Castro 2021 5-11","PA intervention","short","-0.199853976763679","2.07716292678197","52","Baseline and FU","N","N","IOTF"
"57","Diaz-Castro 2021 5-11","Control","baseline","0.54912903875115","2.25847653350779","51","Baseline and FU","N","N","IOTF"
"58","Diaz-Castro 2021 5-11","Control","short","0.452002700746562","2.24411346632288","51","Baseline and FU","N","N","IOTF"
"59","Elder 2014 5-11","MOVE/me Muevo","baseline","0.442997009303675","1.5412120825733","271","Baseline and FU","N","Y","CDC"
"61","Elder 2014 5-11","MOVE/me Muevo","mid","0.516943725891061","1.52752574383901","239","Baseline and FU","N","Y","CDC"
"63","Elder 2014 5-11","Control","baseline","0.536155857798943","1.78540880757291","267","Baseline and FU","N","Y","CDC"
"65","Elder 2014 5-11","Control","mid","0.599435437183342","1.69865801103376","249","Baseline and FU","N","Y","CDC"
"67","Elder 2014 5-11","MOVE/me Muevo","long","0.5080599495344","1.57047077426694","237","Baseline and FU","N","Y","CDC"
"69","Elder 2014 5-11","Control","long","0.672097465241028","1.50020465550338","252","Baseline and FU","N","Y","CDC"
"71","Fairclough 2013 5-11","CHANGE!","baseline","0.244764788594067","1.22113264555866","138","Baseline","N","N","IOTF"
"72","Fairclough 2013 5-11","Control","baseline","0.215919988970463","1.50134802204227","127","Baseline","N","N","IOTF"
"73","Farmer 2017 5-11","PLAY","baseline","0.670975279396112","1.42164000649651","374","Baseline and FU","N","Y","WHO"
"75","Farmer 2017 5-11","PLAY","mid","0.683330908924275","1.52096217188834","360","Baseline and FU","N","Y","WHO"
"77","Farmer 2017 5-11","Control","baseline","0.669088985405629","1.44031399018306","369","Baseline and FU","N","Y","WHO"
"79","Farmer 2017 5-11","Control","mid","0.699069136841108","1.50296957203749","355","Baseline and FU","N","Y","WHO"
"81","Farmer 2017 5-11","PLAY","long","0.748233738417805","1.57536392440983","318","Baseline and FU","N","Y","WHO"
"83","Farmer 2017 5-11","Control","long","0.676812347445146","1.51297078810273","306","Baseline and FU","N","Y","WHO"
"121","Hendrie 2011 5-11","Intervention","baseline","0.286042210639595","1.58349844123057","76","Baseline and FU","N","N","IOTF"
"122","Hendrie 2011 5-11","Intervention","short","0.24141985639962","1.64731393168329","76","Baseline and FU","N","N","IOTF"
"123","Hendrie 2011 5-11","Control (screen time reduction)","baseline","0.352205096022616","1.87197405613193","69","Baseline and FU","N","N","IOTF"
"124","Hendrie 2011 5-11","Control (screen time reduction)","short","0.331432242048566","1.961517662132","64","Baseline and FU","N","N","IOTF"
"137","James 2004 5-11","CHOMPS","baseline","0.492863112103772","1.01861639770243","311","Baseline and FU","N","N","IOTF"
"139","James 2004 5-11","CHOMPS","mid","0.505763470968661","1.03831487731405","295","Baseline and FU","N","N","IOTF"
"141","James 2004 5-11","Control","baseline","0.613226742566681","1.05408248137014","304","Baseline and FU","N","N","IOTF"
"143","James 2004 5-11","Control","mid","0.652754772840038","1.1320413601602","279","Baseline and FU","N","N","IOTF"
"145","James 2004 5-11","CHOMPS","long","0.396858167533843","1.20931565047968","219","Baseline and FU","N","N","IOTF"
"147","James 2004 5-11","Control","long","0.639642978925517","1.14463789096813","215","Baseline and FU","N","N","IOTF"
"149","Jones 2015 5-11","Wollongong SPORT","baseline","1.98756799850994","0.735424373009836","19","Baseline and FU","N","Y","IOTF"
"151","Jones 2015 5-11","Wollongong SPORT","short","1.85712638592765","0.734509384910747","18","Baseline and FU","N","Y","IOTF"
"153","Jones 2015 5-11","Healthy lifestyle education program","baseline","2.2859260263113","0.821787513980184","18","Baseline and FU","N","Y","IOTF"
"155","Jones 2015 5-11","Healthy lifestyle education program","short","2.24740925433435","0.785029281356707","17","Baseline and FU","N","Y","IOTF"
"157","Jones 2015 5-11","Wollongong SPORT","mid","1.86121032928029","0.71872260691841","16","Baseline and FU","N","Y","IOTF"
"159","Jones 2015 5-11","Healthy lifestyle education program","mid","2.17452427833391","0.788026995421142","15","Baseline and FU","N","Y","IOTF"
"173","Khan 2014 5-11","FITKids","baseline","0.0184977941752664","0.822242435998886","64","Baseline and FU","N","Y","CDC"
"174","Khan 2014 5-11","FITKids","mid","0.003504386094611","0.850030963140294","64","Baseline and FU","N","Y","CDC"
"175","Khan 2014 5-11","Control","baseline","-0.0375324526642275","0.822474058036885","68","Baseline and FU","N","Y","CDC"
"176","Khan 2014 5-11","Control","mid","0.0302702920585175","0.898801542038907","68","Baseline and FU","N","Y","CDC"
"177","Lazaar 2007 5-11","Intervention","baseline","0.0651423632554626","0.732837342241192","138","Baseline and FU","N","N","IOTF"
"178","Lazaar 2007 5-11","Intervention","short","-0.0781678463011693","0.731493242255411","138","Baseline and FU","N","N","IOTF"
"179","Lazaar 2007 5-11","Control","baseline","-0.0304918277297008","0.690432691243166","187","Baseline and FU","N","N","IOTF"
"180","Lazaar 2007 5-11","Control","short","0.0280540699650112","0.649854840256427","187","Baseline and FU","N","N","IOTF"
"193","Lent 2014 5-11","Healthy Corner Store","baseline","0.587029132948069","1.90393562378785","435","Baseline and FU","N","Y","CDC"
"195","Lent 2014 5-11","Healthy Corner Store","mid","0.559572143420543","1.87147703530926","331","Baseline and FU","N","Y","CDC"
"197","Lent 2014 5-11","Control","baseline","0.757284783230243","1.45120840276443","332","Baseline and FU","N","Y","CDC"
"199","Lent 2014 5-11","Control","mid","0.773345678999219","1.49421271254881","265","Baseline and FU","N","Y","CDC"
"201","Lent 2014 5-11","Healthy Corner Store","long","0.697970050273377","1.723046873521","262","Baseline and FU","N","Y","CDC"
"203","Lent 2014 5-11","Control","long","0.823771090419449","1.38357753980031","249","Baseline and FU","N","Y","CDC"
"205","Li 2010 5-11","Happy 10 program","baseline","0.338790349246514","1.7950695405853","2329","Baseline and CS","N","Y","WHO"
"207","Li 2010 5-11","Happy 10 program","mid","0.366426525713105","1.63439285970401","2072","Baseline and CS","N","Y","WHO"
"209","Li 2010 5-11","Control","baseline","0.333132925090035","1.81732369385251","2371","Baseline and CS","N","Y","WHO"
"211","Li 2010 5-11","Control","mid","0.427065047916977","1.60632867420613","2115","Baseline and CS","N","Y","WHO"
"213","Li 2010 5-11","Happy 10 program","long","0.522495285324348","1.45642380527673","2028","Baseline and CS","N","Y","WHO"
"215","Li 2010 5-11","Control","long","0.554512946687256","1.43918549981306","2092","Baseline and CS","N","Y","WHO"
"217","Liu 2019 5-11","Intervention","baseline","0.517798446977095","1.66557154453101","930","Baseline and FU","N","Y","WHO"
"219","Liu 2019 5-11","Intervention","short","0.446843371422192","1.63335166933006","902","Baseline and FU","N","Y","WHO"
"221","Liu 2019 5-11","Control","baseline","0.463632142356533","1.74825230509232","959","Baseline and FU","N","Y","WHO"
"223","Liu 2019 5-11","Control","short","0.44677231662577","1.70265631333854","935","Baseline and FU","N","Y","WHO"
"225","Liu 2019 5-11","Intervention","mid","0.537388198502562","1.59640406758045","900","Baseline and FU","N","Y","WHO"
"227","Liu 2019 5-11","Control","mid","0.474759624438482","1.69539062450232","939","Baseline and FU","N","Y","WHO"
"229","Liu 2022 5-11","DECIDE - Children","baseline","0.634633257350739","1.63366332502457","703","Baseline and FU","N","Y","WHO"
"231","Liu 2022 5-11","DECIDE - Children","short","0.426609344803509","1.73625362006266","703","Baseline and FU","N","Y","WHO"
"233","Liu 2022 5-11","Control","baseline","0.71893586906597","1.61132617297543","670","Baseline and FU","N","Y","WHO"
"235","Liu 2022 5-11","Control","short","0.68503940793462","1.63718278060438","670","Baseline and FU","N","Y","WHO"
"237","Liu 2022 5-11","DECIDE - Children","baseline","0.632882332720771","1.62081779398195","686","Baseline and FU","N","Y","WHO"
"239","Liu 2022 5-11","DECIDE - Children","mid","0.373113309493824","1.65100215689436","686","Baseline and FU","N","Y","WHO"
"241","Liu 2022 5-11","Control","baseline","0.760963882380574","1.59331756943671","676","Baseline and FU","N","Y","WHO"
"243","Liu 2022 5-11","Control","mid","0.581580443357628","1.67171752087402","676","Baseline and FU","N","Y","WHO"
"245","Lloyd 2018 5-11","HeLP","baseline","0.402611013658559","1.23411503684983","676","Baseline and FU","N","N","IOTF"
"246","Lloyd 2018 5-11","HeLP","long","0.356483375541889","1.30956444872962","630","Baseline and FU","N","N","IOTF"
"247","Lloyd 2018 5-11","Control","baseline","0.255928758859824","1.23900032049852","648","Baseline and FU","N","N","IOTF"
"248","Lloyd 2018 5-11","Control","long","0.277134739778056","1.27484661941745","620","Baseline and FU","N","N","IOTF"
"249","Martinez-Vizcaino 2020 5-11","MOVI-Kids","baseline","0.087155655235402","1.71099350439546","619","Baseline and FU","N","Y","IOTF"
"250","Martinez-Vizcaino 2020 5-11","MOVI-Kids","short","0.213156615811165","1.60931447760849","619","Baseline and FU","N","Y","IOTF"
"251","Martinez-Vizcaino 2020 5-11","Control","baseline","0.00521181726332353","1.72746767955769","815","Baseline and FU","N","Y","IOTF"
"252","Martinez-Vizcaino 2020 5-11","Control","short","0.11570591970808","1.64494800862905","815","Baseline and FU","N","Y","IOTF"
"253","Martinez-Vizcaino 2022 5-11","MOVI-daFIT!","baseline","0.394521724611155","1.55203427811735","248","Baseline and FU","N","Y","IOTF"
"254","Martinez-Vizcaino 2022 5-11","MOVI-daFIT!","mid","0.313996421165457","1.5262642823365","192","Baseline and FU","N","Y","IOTF"
"255","Martinez-Vizcaino 2022 5-11","Control","baseline","0.352619673882801","1.54679931476403","239","Baseline and FU","N","Y","IOTF"
"256","Martinez-Vizcaino 2022 5-11","Control","mid","0.334391177261955","1.47413476243927","204","Baseline and FU","N","Y","IOTF"
"257","Morgan 2014 5-11","HDHK program","baseline","0.958767440744884","1.44479131447599","72","Baseline and CS","CS","N","IOTF"
"258","Morgan 2014 5-11","HDHK program","short","0.776312398808048","1.45652447654762","72","Baseline and CS","CS","N","IOTF"
"259","Morgan 2014 5-11","Control","baseline","0.755375088596976","1.43342094288515","60","Baseline and CS","CS","N","IOTF"
"260","Morgan 2014 5-11","Control","short","0.67515958303412","1.42774006074033","60","Baseline and CS","CS","N","IOTF"
"261","Newton 2014 5-11","Intensive intervention","baseline","1.34256338947139","2.06777624244012","13","Baseline and CS","N","Y","CDC"
"262","Newton 2014 5-11","Intensive intervention","short","1.38662527469997","2.01640760387294","13","Baseline and CS","N","Y","CDC"
"263","Newton 2014 5-11","Minimal intervention","baseline","0.941290724269365","2.54306377036451","14","Baseline and CS","N","Y","CDC"
"264","Newton 2014 5-11","Minimal intervention","short","0.557627437310101","2.97736394412592","14","Baseline and CS","N","Y","CDC"
"265","Nicholl 2021 5-11","Milky Way study","baseline","-0.3526727835304","0.873187539838653","24","Baseline and CS","N","Y","CDC"
"266","Nicholl 2021 5-11","Milky Way study","short","-0.340257639340962","0.864245343828549","24","Baseline and CS","N","Y","CDC"
"267","Nicholl 2021 5-11","Control","baseline","-0.420532077554538","0.843807450656017","21","Baseline and CS","N","Y","CDC"
"268","Nicholl 2021 5-11","Control","short","-0.477372305731201","0.841396292982471","21","Baseline and CS","N","Y","CDC"
"269","Paineau 2008 5-11","Group A","baseline","0.469305177461654","1.13954424437327","280","Baseline and CS","N","N","IOTF"
"271","Paineau 2008 5-11","Group A","short","0.391386873344254","1.09066838315024","280","Baseline and CS","N","N","IOTF"
"273","Paineau 2008 5-11","Control","baseline","0.328513397676143","1.06173597075738","394","Baseline and CS","N","N","IOTF"
"275","Paineau 2008 5-11","Control","short","0.262507660080608","1.00085227113025","394","Baseline and CS","N","N","IOTF"
"277","Paineau 2008 5-11","Group B","baseline","0.485563959510436","1.18533927626944","275","Baseline and CS","N","N","IOTF"
"279","Paineau 2008 5-11","Group B","short","0.402308305162711","1.12730952561275","275","Baseline and CS","N","N","IOTF"
"321","Pena 2021 5-11","Intervention","baseline","1.01375287159398","1.28459090020354","1611","Baseline","N","Y","WHO"
"322","Pena 2021 5-11","Control","baseline","1.10872434354201","1.33150016140863","411","Baseline","N","Y","WHO"
"323","Robinson 2010 5-11","Intervention","baseline","0.874228210556068","1.48421622876446","134","Baseline and CS","N","N","CDC"
"324","Robinson 2010 5-11","Intervention","long","1.15514697776377","1.00523283153175","134","Baseline and CS","N","N","CDC"
"325","Robinson 2010 5-11","Control","baseline","0.909628479359777","1.38378218465053","127","Baseline and CS","N","N","CDC"
"326","Robinson 2010 5-11","Control","long","1.1698069609968","0.993480545470123","127","Baseline and CS","N","N","CDC"
"327","Rosario 2012 5-11","Intervention","baseline","0.901005597851184","1.16509268427414","231","Baseline","N","Y","IOTF"
"328","Rosario 2012 5-11","Control","baseline","0.696964537664789","1.26906729720664","233","Baseline","N","Y","IOTF"
"329","Rosenkranz 2010 5-11","SNAP","baseline","0.636316263155115","1.24078853658621","33","Baseline and FU","Baseline and FU","Y","CDC"
"330","Rosenkranz 2010 5-11","SNAP","short","0.615418189292883","1.24391936607605","33","Baseline and FU","Baseline and FU","Y","CDC"
"331","Rosenkranz 2010 5-11","Control","baseline","0.503013983179562","0.93550578040503","39","Baseline and FU","Baseline and FU","Y","CDC"
"332","Rosenkranz 2010 5-11","Control","short","0.427104064613069","0.957478486771345","39","Baseline and FU","Baseline and FU","Y","CDC"
"345","Siegrist 2013 5-11","JuvenTUM","baseline","0.520213791331872","1.32038478516227","422","Baseline and FU","N","N","IOTF"
"346","Siegrist 2013 5-11","JuvenTUM","mid","0.565520400452898","1.32318928562989","422","Baseline and FU","N","N","IOTF"
"347","Siegrist 2013 5-11","Control","baseline","0.475677058652975","1.40510438108991","297","Baseline and FU","N","N","IOTF"
"348","Siegrist 2013 5-11","Control","mid","0.443316535408589","1.41323537354903","297","Baseline and FU","N","N","IOTF"
"349","Stettler 2015 5-11","Beverage-only","baseline","1.1965611699608","0.688846861149849","76","Baseline and FU","N","Y","CDC"
"351","Stettler 2015 5-11","Beverage-only","mid","1.16956968831461","0.707284059175188","51","Baseline and FU","N","Y","CDC"
"353","Stettler 2015 5-11","Control","baseline","1.29135407070963","0.680342910517791","33","Baseline and FU","N","Y","CDC"
"355","Stettler 2015 5-11","Control","mid","1.3782574119219","0.706431286888374","24","Baseline and FU","N","Y","CDC"
"357","Stettler 2015 5-11","Multiple behaviors","baseline","1.17440977567595","0.680035663449043","63","Baseline and FU","N","Y","CDC"
"359","Stettler 2015 5-11","Multiple behaviors","mid","1.11173863245276","0.666493594385551","46","Baseline and FU","N","Y","CDC"
"361","Story 2012 5-11","Bright Start","baseline","-0.00575259761772391","2.87585440527263","267","Baseline and FU","Baseline and FU","Y","CDC"
"362","Story 2012 5-11","Bright Start","long","0.612735454324984","1.79417227029178","267","Baseline and FU","Baseline and FU","Y","CDC"
"363","Story 2012 5-11","Control","baseline","-0.485384487560643","3.65806237652083","187","Baseline and FU","Baseline and FU","Y","CDC"
"364","Story 2012 5-11","Control","long","0.217662435139979","2.34373318200515","187","Baseline and FU","Baseline and FU","Y","CDC"
"365","Wang 2018 5-11","HLP-YOG intervention","baseline","0.745819368094122","1.41980419564824","5275","Baseline and FU","N","N","IOTF"
"366","Wang 2018 5-11","HLP-YOG intervention","mid","0.605478465414515","1.41679862462407","5275","Baseline and FU","N","N","IOTF"
"367","Wang 2018 5-11","Control","baseline","0.760266597781017","1.32466853378419","4583","Baseline and FU","N","N","IOTF"
"368","Wang 2018 5-11","Control","mid","0.610697156991668","1.538898842574","4583","Baseline and FU","N","N","IOTF"
"369","Xu 2015 5-11","CLICK programme","baseline","0.654349633202717","1.1587678405326","612","Baseline and CS","CS","N","IOTF"
"370","Xu 2015 5-11","CLICK programme","mid","0.400974568068295","1.20610357708266","612","Baseline and CS","CS","N","IOTF"
"371","Xu 2015 5-11","Control","baseline","0.615984633297046","1.09682480895962","513","Baseline and CS","CS","N","IOTF"
"372","Xu 2015 5-11","Control","mid","0.351457841438604","1.11406428801842","513","Baseline and CS","CS","N","IOTF"
"373","Xu 2017 (5 other cities) 5-11","Comprehensive","baseline","0.0406393350617909","1.86215463800638","2656","Baseline and FU","N","Y","WHO"
"374","Xu 2017 (5 other cities) 5-11","Comprehensive","mid","0.116107512535794","1.79771157466369","2656","Baseline and FU","N","Y","WHO"
"375","Xu 2017 (5 other cities) 5-11","Control","baseline","0.117903033099217","1.79331454670245","2627","Baseline and FU","N","Y","WHO"
"376","Xu 2017 (5 other cities) 5-11","Control","mid","0.207846446731062","1.78764150356527","2627","Baseline and FU","N","Y","WHO"
